task_name,task_version,task_versionDate,task_form,task_ageCohort,task_language,site_id,subject_id,session_num,session_date,session_start,initials,machine_id,response_device,block_name,trial_number,trial_location,trial_similarity,trial_corr_resp,trial_visual_hemi,trial_interference,resp_value,resp_corr,resp_rt,task_time
NBack,3.2.0.2,04/04/2012,a,Adult,English,Site_ID,12,12,01/02/2020,23:49,sa,Machine_ID,none,nb1DemoBlock,0,0,,none,,,none,0,0,24.048471041984158
NBack,3.2.0.2,04/04/2012,a,Adult,English,Site_ID,12,12,01/02/2020,23:49,sa,Machine_ID,keyboard,nb1DemoBlock,1,0,,left,,,left,1,3.084752489987295,32.17483445399557
NBack,3.2.0.2,04/04/2012,a,Adult,English,Site_ID,12,12,01/02/2020,23:49,sa,Machine_ID,keyboard,nb1DemoBlock,2,11,,right,,,right,1,1.571884292003233,41.338675324979704
NBack,3.2.0.2,04/04/2012,a,Adult,English,Site_ID,12,12,01/02/2020,23:49,sa,Machine_ID,keyboard,nb1DemoBlock,3,11,,left,,,left,1,1.4215034079970792,50.34597000898793
NBack,3.2.0.2,04/04/2012,a,Adult,English,Site_ID,12,12,01/02/2020,23:49,sa,Machine_ID,keyboard,nb1DemoBlock,4,13,,right,,,right,1,1.7970846280222759,59.73065518398653
NBack,3.2.0.2,04/04/2012,a,Adult,English,Site_ID,12,12,01/02/2020,23:49,sa,Machine_ID,keyboard,nb1DemoBlock,5,9,,right,,,right,1,1.2720931849908084,68.59570077699027
NBack,3.2.0.2,04/04/2012,a,Adult,English,Site_ID,12,12,01/02/2020,23:49,sa,Machine_ID,keyboard,nb1DemoBlock,6,9,,left,,,right,0,2.5390326750057284,78.71861565299332
NBack,3.2.0.2,04/04/2012,a,Adult,English,Site_ID,12,12,01/02/2020,23:49,sa,Machine_ID,keyboard,nb1DemoBlock,7,0,,right,,,right,1,2.17952273398987,88.48835864698049
NBack,3.2.0.2,04/04/2012,a,Adult,English,Site_ID,12,12,01/02/2020,23:49,sa,Machine_ID,keyboard,nb1DemoBlock,8,14,,right,,,right,1,1.122486726992065,97.20746422299999
NBack,3.2.0.2,04/04/2012,a,Adult,English,Site_ID,12,12,01/02/2020,23:49,sa,Machine_ID,keyboard,nb1DemoBlock,9,10,,right,,,right,1,1.4691820250009187,106.26197930198396
NBack,3.2.0.2,04/04/2012,a,Adult,English,Site_ID,12,12,01/02/2020,23:49,sa,Machine_ID,keyboard,nb1DemoBlock,10,10,,left,,,right,0,4.160973046004074,118.00607171500451
